time,open,high,low,close,Wk POC,Wk VAH,Wk VAL,Mo POC,Mo VAH,Mo VAL,Active SL,Active TP2,Active TP1,Active TP3,Sell SL,Sell TP2,Sell TP1,Sell TP3,Bull Divergence,Bear Div Warning
1783962000,0.97936,0.9799,0.97868,0.97927,,,,0.98159105,0.9842052,0.9791903000000001,0.9777679113329721,0.9972441773340558,0.9907520886670279,0.9859124,,,,,0,0
1783976400,0.97967,0.9797,0.97831,0.97882,0.9809580999999999,0.9840717999999999,0.9804634,0.98159105,0.9842052,0.9790836,0.9777679113329721,0.9972441773340558,0.9907520886670279,0.9859124,,,,,0,0
1783990800,0.97886,0.97979,0.97834,0.97972,0.9809580999999999,0.98413,0.979474,0.98159105,0.9839918,0.9788702,,,,,,,,,0,0
1784005200,0.97977,0.98042,0.97828,0.97852,0.97901125,0.9813805,0.97828,0.98159105,0.9839918,0.9788702,,,,,,,,,0,0
1784019600,0.97848,0.98266,0.97832,0.98076,0.97901125,0.9813805,0.97828,0.98159105,0.9838851000000001,0.9788702,,,,,,,,,0,0
1784034000,0.98082,0.98288,0.9802,0.98106,0.98094175,0.9827845,0.9793915,0.98159105,0.9838851000000001,0.9788702,,,,,,,,,0,0
1784048400,0.98102,0.9815,0.98023,0.98062,0.98094175,0.9827845,0.9793915,0.9811642500000001,0.9838851000000001,0.9788702,,,,,,,,,0,0
1784062800,0.98176,0.98186,0.98006,0.98118,0.98094175,0.9827845,0.97945,0.9811642500000001,0.9837784,0.9788702,,,,,,,,,0,0
1784077200,0.98122,0.98176,0.98046,0.9811,0.98094175,0.9827845,0.9795085,0.9811642500000001,0.9837784,0.9788702,,,,,,,,,0,0
1784091600,0.98116,0.98234,0.98087,0.98212,0.98094175,0.9827845,0.979567,0.9811642500000001,0.9837784,0.9788702,,,,,,,,,0,0
1784106000,0.98216,0.9834,0.9818,0.98317,0.98094175,0.9827845,0.979567,0.9811642500000001,0.9838851000000001,0.9789769,,,,,,,,,0,0
1784120400,0.98322,0.98398,0.98228,0.98248,0.98094175,0.9829015,0.979567,0.9811642500000001,0.9838851000000001,0.9790836,,,,,,,,,0,0
1784134800,0.98244,0.98474,0.98244,0.98374,0.9809609,0.983448,0.9797012,0.9811642500000001,0.9838851000000001,0.9790836,,,,,,,,,0,0
1784149200,0.98369,0.98424,0.9823,0.98238,0.9809609,0.9839648,0.9801534000000001,0.9811642500000001,0.9838851000000001,0.9790836,,,,,,,,,0,0
1784163600,0.98242,0.98361,0.9816,0.98304,0.9816069,0.9836418,0.980218,0.98159105,0.9838851000000001,0.9791903000000001,,,,,,,,,0,0
1784178000,0.98303,0.98328,0.98225,0.9826,0.9823175,0.9835771999999999,0.9804118,0.9826580500000001,0.9838851000000001,0.9792970000000001,,,,,,,,,0,0
1784192400,0.98262,0.9833,0.98138,0.98156,0.9823175,0.983448,0.9804118,0.9826580500000001,0.9838851000000001,0.9792970000000001,,,,,,,,,0,0
1784206800,0.9816,0.98328,0.98131,0.98256,0.9823175,0.9833834,0.9804764,0.9826580500000001,0.9838851000000001,0.9794037,0.9776304448532838,0.9924191102934324,0.9874895551467162,0.9838851000000001,,,,,0,0
1784221200,0.98258,0.98294,0.98224,0.9825,0.9823175,0.9833187999999999,0.9804764,0.9826580500000001,0.9838851000000001,0.9794037,0.9776304448532838,0.9924191102934324,0.9874895551467162,0.9838851000000001,,,,,0,0
1784235600,0.98226,0.98305,0.98151,0.9822,0.9823175,0.9833187999999999,0.980541,0.9826580500000001,0.9838851000000001,0.9794037,0.9776304448532838,0.9924191102934324,0.9874895551467162,0.9838851000000001,,,,,0,0
1784250000,0.98224,0.98236,0.97927,0.97966,0.9823175,0.9833187999999999,0.9804764,0.98233795,0.9838851000000001,0.9794037,0.9776304448532838,0.9924191102934324,0.9874895551467162,0.9838851000000001,,,,,0,0
