time,open,high,low,close,Wk POC,Wk VAH,Wk VAL,Mo POC,Mo VAH,Mo VAL,Active SL,Active TP2,Active TP1,Active TP3,Sell SL,Sell TP2,Sell TP1,Sell TP3,Bull Divergence,Bear Div Warning
1783962000,0.6922,0.6926,0.69133,0.69176,,,,0.6938218,0.6949936,0.691782,,,,,,,,,0,0
1783976400,0.69214,0.69222,0.6913,0.6919,0.69241935,0.6946764,0.692401,0.6938218,0.6949936,0.6916952,,,,,,,,,0,0
1783990800,0.69189,0.69336,0.69159,0.69331,0.69241935,0.6947498,0.692401,0.6938218,0.6949068,0.6916952,,,,,,,,,0,0
1784005200,0.69332,0.69453,0.69277,0.69436,0.69322675,0.694603,0.692401,0.6938218,0.6949068,0.6916952,,,,,,,,,0,0
1784019600,0.69438,0.69835,0.69385,0.69692,0.69380275,0.6948955,0.692287,0.6937818,0.6950368,0.6917236,,,,,,,,,0,0
1784034000,0.69694,0.69932,0.69684,0.6978,0.6938263,0.694909,0.6916208,0.69375995,0.6950261,0.6913928,,,,,,,,,0,0
1784048400,0.6978,0.69792,0.69694,0.69745,0.6938263,0.694909,0.6913,0.69375995,0.6950261,0.6913928,,,,,,,,,0,0
1784062800,0.69802,0.69856,0.69707,0.69852,0.6938263,0.6953100000000001,0.6913,0.69375995,0.6951362,0.6913928,,,,,,,,,0,0
1784077200,0.69851,0.69928,0.69797,0.69838,0.6938263,0.6965932,0.6913,0.69375995,0.6951362,0.6912827,,,,,,,,,0,0
1784091600,0.69842,0.69909,0.69777,0.69882,0.6938263,0.6971546000000001,0.6913,0.69375995,0.6952463,0.6912827,,,,,,,,,0,0
1784106000,0.69882,0.69974,0.69802,0.69961,0.6937898,0.6974612,0.6913,0.69373925,0.6953966,0.6912818,,,,,,,,,0,0
1784120400,0.69963,0.70029,0.69892,0.69934,0.69889655,0.70029,0.6935475,0.6937609,0.6956178,0.6911851999999999,,,,,,,,,0,0
1784134800,0.69938,0.70212,0.69934,0.70064,0.6938427,0.6981166,0.6913,0.6937649499999999,0.6956293,0.691072,,,,,,,,,0,0
1784149200,0.70059,0.70118,0.69959,0.69985,0.6938427,0.6982248,0.6913,0.6937649499999999,0.6956293,0.6909339,,,,,,,,,0,0
1784163600,0.69987,0.70036,0.69863,0.69992,0.6938427,0.6984412,0.6913,0.6937649499999999,0.6956293,0.6907958,,,,,,,,,0,0
1784178000,0.69992,0.70015,0.69942,0.69987,0.6938427,0.6986576,0.6913,0.6937649499999999,0.6957673999999999,0.6906576999999999,,,,,,,,,0,0
1784192400,0.69988,0.70105,0.69951,0.69977,0.6995773,0.7012543999999999,0.6938968,0.6937649499999999,0.6959055,0.6906576999999999,,,,,,,,,0,0
1784206800,0.69978,0.70126,0.69924,0.6994,0.6995773,0.7013626,0.694005,0.6937649499999999,0.6960436,0.6902434,,,,,,,,,0,0
