time,open,high,low,close,Wk POC,Wk VAH,Wk VAL,Mo POC,Mo VAH,Mo VAL,Active SL,Active TP2,Active TP1,Active TP3,Sell SL,Sell TP2,Sell TP1,Sell TP3,Bull Divergence,Bear Div Warning
1783962000,1.9784,1.98096,1.97762,1.97918,,,,2.00750625,2.01448,1.9949535,,,,,,,,,0,0
1783976400,1.9799,1.9809,1.97038,1.97068,1.9786274000000001,1.9797712,1.9753164,2.0076445,2.01448,1.993312,,,,,,,,,0,0
1783990800,1.97062,1.97163,1.96604,1.96748,1.9785707000000001,1.980782,1.9753766000000001,2.0079406,2.01448,1.9907443999999999,,,,,,,,,0,0
1784005200,1.96746,1.96881,1.96524,1.96643,1.9785545,1.9810456,1.9748608,2.0083249999999997,2.01448,1.9888752,,,,,,,,,0,0
1784019600,1.96642,1.96873,1.95742,1.96652,1.978545,1.98242,1.97042,2.0073475,2.01448,1.9853793999999998,,,,,,,,,0,0
1784034000,1.96648,1.9689,1.96502,1.96676,1.978545,1.98242,1.96767,2.0073475,2.01448,1.9819558,,,,,,,,,0,0
1784048400,1.96677,1.96748,1.96537,1.96545,1.978545,1.98242,1.96717,2.0073475,2.01448,1.9819558,,,,,,,,,0,0
1784062800,1.96335,1.96743,1.96335,1.9639,1.966045,1.97742,1.95742,2.0073475,2.01448,1.9813851999999998,,,,,,,,,0,0
1784077200,1.96388,1.96819,1.96304,1.96684,1.966045,1.97717,1.95742,2.0073475,2.01448,1.9808146,,,,,,,,,0,0
1784091600,1.96682,1.96724,1.96236,1.96292,1.966045,1.97692,1.95742,2.0073475,2.01448,1.9808146,,,,,,,,,0,0
1784106000,1.96289,1.96326,1.95952,1.9597,1.966045,1.97667,1.95742,2.0073475,2.01448,1.980244,,,,,,,,,0,0
1784120400,1.95972,1.9615,1.9578,1.96007,1.966045,1.97617,1.95742,2.0073475,2.01448,1.9796733999999998,,,,,,,,,0,0
1784134800,1.96002,1.96094,1.95789,1.95975,1.966045,1.9759200000000001,1.95742,2.0073475,2.01448,1.9796733999999998,,,,,,,,,0,0
1784149200,1.95971,1.96396,1.9589,1.96342,1.966045,1.97567,1.95742,2.0073475,2.01448,1.9796733999999998,,,,,,,,,0,0
1784163600,1.96334,1.9647,1.95868,1.96073,1.966045,1.97542,1.95742,2.0073475,2.01448,1.9791028,,,,,,,,,0,0
1784178000,1.9607,1.961,1.95761,1.95972,1.966045,1.97492,1.95742,2.0073475,2.01448,1.9785321999999999,,,,,,,,,0,0
1784192400,1.9597,1.96037,1.9577,1.95826,1.966045,1.97317,1.95742,2.0073475,2.01448,1.9779616,,,,,,,,,0,0
