time,open,high,low,close,Wk POC,Wk VAH,Wk VAL,Mo POC,Mo VAH,Mo VAL,Active SL,Active TP2,Active TP1,Active TP3,Sell SL,Sell TP2,Sell TP1,Sell TP3,Bull Divergence,Bear Div Warning
1783962000,185.014,185.036,184.858,184.888,,,,184.92277,185.73568,184.789,,,,,,,,,0,0
1783976400,184.908,185.006,184.766,184.87,184.9158,185.3856,184.8132,184.92277,185.7151,184.76842,,,,,,,,,0,0
1783990800,184.869,184.998,184.839,184.89,184.9158,185.35320000000002,184.8348,184.92277,185.7151,184.789,,,,,,,,,0,0
1784005200,184.891,185.086,184.798,184.99,184.9158,185.2884,184.7916,184.92277,185.7151,184.789,,,,,,,,,0,0
1784019600,184.992,185.366,184.812,185.324,184.9158,185.2776,184.7916,184.92277,185.69452,184.789,,,,,,,,,0,0
1784034000,185.326,185.494,185.28,185.333,184.91545,185.33972,184.78871999999998,184.92277,185.67394000000002,184.789,,,,,,,,,0,0
1784048400,185.332,185.359,185.224,185.322,185.27911,185.48298,184.90994,184.92277,185.67394000000002,184.789,184.28677924181667,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784062800,185.266,185.385,185.25,185.33,185.27911,185.48298,184.92096,184.92277,185.65336000000002,184.789,184.28677924181667,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784077200,185.329,185.574,185.231,185.524,185.28441,185.50308,184.9239,184.92277,185.67394000000002,184.80958,184.28677924181667,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784091600,185.526,185.626,185.335,185.418,185.27431,185.5026,184.92262,184.92277,185.65336000000002,184.80958,184.28677924181667,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784106000,185.424,185.438,185.212,185.333,185.27431,185.5026,184.93496,184.92277,185.65336000000002,184.80958,184.28677924181667,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784120400,185.332,185.556,185.327,185.552,185.32367,185.5643,184.97198,185.33437,185.65336000000002,184.83016,184.28677924181667,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784134800,185.552,186.002,185.551,185.93,185.33385,185.56730000000002,184.9394,185.31819000000002,185.66570000000002,184.83616,185.11533296849393,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784149200,185.88,186.001,185.858,185.994,185.33385,185.56730000000002,184.9233,185.31819000000002,185.68812,184.83616,185.14802347074436,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784163600,185.99,185.996,185.829,185.874,185.33385,185.56730000000002,184.9072,185.31819000000002,185.68812,184.81374,185.1732360799769,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784178000,185.875,185.98,185.786,185.922,185.33385,185.56730000000002,184.875,185.31819000000002,185.71054,184.81374,185.19086207426426,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784192400,185.923,186.036,185.786,185.798,185.32086,185.55924,184.81944,185.31906,185.71736,184.80696,185.22922906895968,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784206800,185.8,185.972,185.762,185.802,185.32086,185.625,184.78656,185.31906,185.74012,184.7842,185.24185556403398,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784221200,185.803,185.834,185.718,185.81,185.32086,185.64144,184.7208,185.31906,185.76288,184.7842,185.24185556403398,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784235600,185.834,185.928,185.77,185.923,185.32086,185.64144,184.70436,185.31906,185.76288,184.7842,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784250000,185.926,185.958,185.687,185.752,185.32086,185.64144,184.6386,185.31906,185.78564,184.7842,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784264400,185.75,185.964,185.636,185.802,185.32086,185.7894,184.78656,185.31906,185.8084,184.80696,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784278800,185.8,185.863,185.484,185.628,185.32086,185.7894,184.78656,185.31906,185.8084,184.80696,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784293200,185.632,185.914,185.577,185.801,185.32086,185.97024,185.11536,185.31906,185.83116,184.82972,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784307600,185.802,185.844,185.738,185.772,185.32086,185.9538,185.11536,185.31906,185.83116,184.85247999999999,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784494800,185.645,185.805,185.592,185.61,,,,185.31906,185.83116,184.85247999999999,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784509200,185.61,185.828,185.59,185.79,,,,185.31906,185.85392,184.87524,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784523600,185.791,185.878,185.666,185.736,,,,185.31906,185.89944,184.898,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784538000,185.736,185.754,185.422,185.534,,,,185.31906,185.89944,184.898,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784552400,185.534,185.581,185.348,185.468,,,,185.34181999999998,185.89944,184.92076,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784566800,185.47,185.533,185.426,185.475,,,,185.34181999999998,185.89944,184.92076,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784581200,185.499,185.544,185.418,185.506,185.42485000000002,185.6925,185.348,185.34181999999998,185.89944,184.92076,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784595600,185.508,185.536,185.408,185.526,185.42485000000002,185.6766,185.348,185.34181999999998,185.89944,184.92076,185.29431423633542,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784610000,185.527,185.842,185.508,185.806,185.50965,185.7031,185.40630000000002,185.34181999999998,185.89944,184.92076,185.33051105871377,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784624400,185.807,185.923,185.75,185.787,185.506125,185.739,185.40550000000002,185.34181999999998,185.9222,184.94352,185.34383169737708,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784638800,185.788,186.032,185.712,185.96,185.50874000000002,185.77892,185.4164,185.34181999999998,185.9222,184.94352,185.34383169737708,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784653200,185.961,186.124,185.933,186.01,185.50708,185.80584,185.41784,185.35569999999998,185.93488,184.942,185.42257937171797,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784667600,186.002,186.094,185.964,186.042,185.50708,185.82912,185.41784,185.35569999999998,185.93488,184.942,185.44482370230955,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784682000,186.043,186.162,186.013,186.153,185.50673,185.86082000000002,185.41312000000002,185.35733,185.96984,184.93698,185.49940772357317,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784696400,186.154,186.192,185.735,185.938,185.50414,185.8966,185.41552000000001,185.35296,185.97312,184.92736,185.49940772357317,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784710800,185.934,186.116,185.872,186.072,185.50414,185.93880000000001,185.41552000000001,185.35296,185.99744,184.95168,185.49940772357317,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784725200,186.069,186.202,186.041,186.098,186.04401000000001,186.16784,185.61274,185.35951,185.98221999999998,184.93215999999998,185.50400210229236,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784739600,186.103,186.211,186.098,186.202,186.09449500000002,186.20237,185.66731000000001,185.34089500000002,185.9659,184.91197,185.5386448092715,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784754000,186.145,186.193,186.046,186.17,186.09449500000002,186.20237,185.67594000000003,185.34089500000002,185.9659,184.91197,185.55324160860926,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784768400,186.17,186.462,186.106,186.434,186.11109,186.20578,185.63764,185.34067,185.97564,184.89484,185.7749386365657,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784782800,186.435,186.666,186.324,186.38,186.09267,186.2047,185.57206000000002,185.34377,185.96856,184.89334,185.95472873395389,187.39244151636666,186.35722075818333,185.67394000000002,,,,,0,0
1784797200,186.38,186.47,186.046,186.342,186.09267,186.21788,185.5457,185.34377,185.96856,184.86427999999998,,,,,,,,,0,0
1784811600,186.344,186.519,186.206,186.37,186.09267,186.41558,185.66432,185.34377,185.96856,184.83522,,,,,,,,,0,0
1784826000,186.37,186.457,186.296,186.443,186.09267,186.41558,185.66432,185.34377,185.96856,184.83522,,,,,,,,,0,0
1784840400,186.401,186.533,186.352,186.486,186.09267,186.41558,185.66432,185.34377,185.96856,184.83522,,,,,,,,,0,0
1784854800,186.487,186.54,186.372,186.422,186.09267,186.44194,185.66432,185.34377,185.99761999999998,184.83522,,,,,,,,,0,0
1784869200,186.422,186.606,186.365,186.384,186.09267,186.45512,185.66432,185.34377,185.99761999999998,184.80616,,,,,,,,,0,0
1784883600,186.382,186.524,186.24,186.296,186.09267,186.45512,185.66432,185.34377,185.99761999999998,184.80616,,,,,,,,,0,0
1784898000,186.296,186.443,186.243,186.348,186.36945,186.54738,185.8093,185.34377,186.05574,184.80616,185.6285130435056,187.78697391298886,187.06748695649443,188.50646086948328,,,,,0,0
