time,open,high,low,close,Wk POC,Wk VAH,Wk VAL,Mo POC,Mo VAH,Mo VAL,Active SL,Active TP2,Active TP1,Active TP3,Sell SL,Sell TP2,Sell TP1,Sell TP3,Bull Divergence,Bear Div Warning
1783962000,0.57566,0.57588,0.5744,0.57503,,,,0.56950075,0.5729508999999999,0.5663212,,,,,,,,,0,0
1783976400,0.57497,0.57804,0.57474,0.57773,0.5752251,0.5776112,0.5748014,0.56950075,0.5732214999999999,0.5660506,,,,,,,,,0,1
1783990800,0.57772,0.57956,0.5775,0.57894,0.5775218,0.5786827999999999,0.57569,0.5698451,0.5739101999999999,0.5660556,,,,,,,,,0,1
1784005200,0.57894,0.58013,0.57832,0.5797,0.57832505,0.5796143,0.5759471,0.56958275,0.5745335,0.56578,,,,,,,,,0,1
1784019600,0.57972,0.58458,0.57952,0.58205,0.5783193,0.5788792,0.5750108,0.569634,0.57518,0.5659679999999999,,,,,,,,,0,1
1784034000,0.58204,0.58294,0.58023,0.58125,0.5783193,0.579999,0.5747054,0.569634,0.5757439999999999,0.5659679999999999,,,,,,,,,0,1
1784048400,0.58126,0.58134,0.58045,0.58109,0.5783193,0.5804062,0.5747054,0.569634,0.5757439999999999,0.5659679999999999,,,,,,,,,0,1
1784062800,0.58166,0.58228,0.58055,0.58216,0.5783193,0.5806098,0.5747054,0.569634,0.575932,0.5659679999999999,,,,,,,,,0,1
1784077200,0.58217,0.58259,0.58094,0.58148,0.5783193,0.5809152,0.5747054,0.569634,0.57612,0.5659679999999999,,,,,,,,,0,1
1784091600,0.58148,0.58244,0.58118,0.582,0.5811697,0.5829512,0.5772504,0.569634,0.5763079999999999,0.5659679999999999,,,,,,,,,0,1
1784106000,0.58202,0.58327,0.58131,0.58316,0.5812715,0.5829512,0.5773522,0.569634,0.576496,0.5659679999999999,,,,,,,,,0,1
1784120400,0.58318,0.58419,0.58261,0.58378,0.5812715,0.5842746,0.5777594,0.569634,0.5768719999999999,0.5659679999999999,,,,,,,,,0,1
1784134800,0.58378,0.58634,0.58376,0.58498,0.5812655,0.5841908,0.5776238,0.5695836,0.5768823999999999,0.5659856,,,,,,,,,0,0
1784149200,0.58496,0.58539,0.58402,0.5844,0.5812655,0.5846684,0.5777432,0.5695836,0.5770879999999999,0.5659856,,,,,,,,,0,0
1784163600,0.5844,0.58534,0.58342,0.58483,0.5812655,0.5853847999999999,0.577982,0.5695836,0.5770879999999999,0.5659856,,,,,,,,,0,0
1784178000,0.58484,0.58583,0.58472,0.58508,0.5812655,0.5858624,0.5782208,0.5695836,0.5772936,0.5659856,,,,,,,,,0,0
1784192400,0.58508,0.58574,0.58453,0.58458,0.5812655,0.5858624,0.5783402,0.5695836,0.5774992,0.5659856,,,,,,,,,0,0
1784206800,0.58459,0.58554,0.58354,0.58376,0.5812655,0.5858624,0.5784596,0.5695836,0.5777048,0.5659856,,,,,,,,,0,0
1784221200,0.58374,0.58432,0.58336,0.58427,0.5812655,0.5858624,0.578579,0.5695836,0.5777048,0.5659856,,,,,,,,,0,0
1784235600,0.58421,0.58464,0.58362,0.58462,0.5812655,0.5858624,0.578579,0.5695836,0.5779103999999999,0.5659856,,,,,,,,,0,0
1784250000,0.58462,0.58486,0.58328,0.58345,0.5840117,0.5858624,0.5786984000000001,0.5695836,0.578116,0.5659856,,,,,,,,,0,0
1784264400,0.58346,0.5846,0.58295,0.58295,0.5840117,0.5858624,0.5790566,0.5695836,0.5783216,0.5659856,,,,,,,,,0,0
1784278800,0.58295,0.58351,0.58251,0.58271,0.5840117,0.5858624,0.5792954,0.5695836,0.5785271999999999,0.5659856,,,,,,,,,0,0
1784293200,0.58272,0.58484,0.58254,0.5845,0.5840117,0.5858624,0.5796536,0.5695836,0.5789384,0.5659856,,,,,,,,,0,0
1784307600,0.58453,0.58464,0.58402,0.58431,0.5840117,0.5858624,0.579773,0.5695836,0.579144,0.5659856,,,,,,,,,0,0
1784494800,0.58287,0.58442,0.58266,0.58411,,,,0.5695836,0.5795551999999999,0.5659856,,,,,,,,,0,0
1784509200,0.58412,0.5861,0.5839,0.58586,,,,0.5695836,0.5799664,0.5659856,,,,,,,,,0,0
1784523600,0.58586,0.58638,0.58468,0.58544,,,,0.569591,0.580612,0.565986,,,,,,,,,0,1
1784538000,0.58542,0.58633,0.58474,0.58534,,,,0.569591,0.580818,0.565986,,,,,,,,,0,1
1784552400,0.58532,0.5855,0.58408,0.58452,,,,0.569591,0.58123,0.565986,,,,,,,,,0,1
1784566800,0.58452,0.5848,0.5838,0.58386,,,,0.569591,0.58123,0.565986,,,,,,,,,0,0
1784581200,0.58376,0.58644,0.58318,0.58604,0.5847578999999999,0.5858352,0.5840586,0.5696021,0.5814815999999999,0.5659865999999999,,,,,,,,,0,1
1784595600,0.58606,0.58726,0.58582,0.58641,0.584753,0.586064,0.58404,0.5695389999999999,0.5816752,0.56578,,,,,,,,,0,1
1784610000,0.58641,0.5867,0.58548,0.58592,0.585489,0.586386,0.584316,0.5695389999999999,0.5816752,0.56578,,,,,,,,,0,1
1784624400,0.58592,0.58641,0.58372,0.58398,0.585489,0.586386,0.584316,0.5695389999999999,0.58189,0.56578,,,,,,,,,0,0
1784638800,0.58398,0.58402,0.58226,0.58334,0.585485,0.58641,0.58401,0.5695389999999999,0.5821048,0.56578,,,,,,,,,0,0
1784653200,0.58334,0.58345,0.58255,0.58274,0.585485,0.58641,0.58391,0.5695389999999999,0.5823195999999999,0.56578,,,,,,,,,0,0
1784667600,0.5827,0.58325,0.58226,0.5832,0.585485,0.58641,0.5837600000000001,0.5695389999999999,0.5823195999999999,0.56578,,,,,,,,,0,0
1784682000,0.5832,0.58337,0.58238,0.58264,0.585485,0.58671,0.58361,0.5695389999999999,0.5825344,0.56578,,,,,,,,,0,0
1784696400,0.58264,0.58292,0.58126,0.58178,0.58549,0.58672,0.58324,0.5695389999999999,0.5825344,0.56578,,,,,,,,,0,0
1784710800,0.58179,0.58204,0.58106,0.58131,0.585493,0.5867020000000001,0.582982,0.5695389999999999,0.5825344,0.56578,,,,,,,,,0,0
1784725200,0.58132,0.58238,0.58132,0.58176,0.582393,0.585214,0.581246,0.5695389999999999,0.5823195999999999,0.56578,,,,,,,,,0,0
1784739600,0.58176,0.58186,0.58136,0.58161,0.582393,0.585214,0.581246,0.5695389999999999,0.5823195999999999,0.56578,,,,,,,,,0,0
1784754000,0.58157,0.58208,0.58088,0.58175,0.5813585,0.5850908,0.5810076,0.5695389999999999,0.5823195999999999,0.56578,,,,,,,,,0,0
1784768400,0.58174,0.58218,0.58126,0.5818,0.5813585,0.5849632,0.5810076,0.5695389999999999,0.5823195999999999,0.56578,,,,,,,,,0,0
1784782800,0.58178,0.58234,0.57936,0.57962,0.5813745,0.585048,0.581019,0.5695389999999999,0.5823195999999999,0.56578,,,,,,,,,0,0
1784797200,0.5796,0.58012,0.5772,0.57783,0.5813749,0.5853486,0.5810228000000001,0.5695389999999999,0.5823195999999999,0.56578,,,,,,,,,0,0
1784811600,0.57782,0.57816,0.57623,0.57768,0.58135895,0.5857158,0.5809729,0.5695389999999999,0.5821048,0.56578,,,,,,,,,0,0
1784826000,0.57766,0.57773,0.57676,0.57719,0.58135895,0.5858261,0.5809729,0.5695389999999999,0.5821048,0.56578,,,,,,,,,0,0
1784840400,0.57721,0.57836,0.57688,0.57835,0.58135895,0.5859364,0.5809729,0.5695389999999999,0.5821048,0.56578,,,,,,,,,0,0
1784854800,0.57835,0.57858,0.57722,0.57744,0.58135895,0.586157,0.5809729,0.5695389999999999,0.5821048,0.56578,,,,,,,,,0,0
1784869200,0.57746,0.5791,0.57742,0.57859,0.58135895,0.5863776,0.5809729,0.5695389999999999,0.5821048,0.56578,,,,,,,,,0,0
